/home/gorgsss/.local/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Using cuda device
Logging to ./logger/PPO_160
-----------------------------
| time/              |      |
|    approx_kl            | 0.036468167 |
|    clip_fraction        | 0.391       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | 0.454       |
|    learning_rate        | 0.002       |
|    loss                 | 0.0716      |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0162     |
|    std                  | 0.954       |
|    value_loss           | 0.264       |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 5e+03    |
|    ep_rew_mean          | 355      |
| time/                   |          |
|    fps                  | 169      |
|    iterations           | 18       |
|    time_elapsed         | 217      |
|    total_timesteps      | 36864    |
| train/                  |          |
|    approx_kl            | 0.093261 |
|    average_reward       | 355      |
|    clip_fraction        | 0.601    |
|    clip_range           | 0.2      |
|    entropy_loss         | -11      |
|    explained_variance   | -51.1    |
|    learning_rate        | 0.002    |
|    loss                 | 54.2     |
|    n_updates            | 170      |
|    policy_gradient_loss | 0.0332   |
|    std                  | 0.954    |
|    value_loss           | 166      |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 355         |
| time/                   |             |
|    fps                  | 170         |
|    iterations           | 19          |
|    time_elapsed         | 227         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.019770466 |
|    clip_fraction        | 0.258       |
|    clip_range           | 0.2         |
|    entropy_loss         | -11         |
|    explained_variance   | -933        |
|    learning_rate        | 0.002       |
|    loss                 | 5.6         |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00869    |
|    std                  | 0.95        |
|    value_loss           | 15.9        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 415        |
| time/                   |            |
|    fps                  | 171        |
|    iterations           | 20         |
|    time_elapsed         | 238        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.02769157 |
|    average_reward       | 415        |
|    clip_fraction        | 0.242      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.9      |
|    explained_variance   | -39.2      |
|    learning_rate        | 0.002      |
|    loss                 | 0.0897     |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.015     |
|    std                  | 0.948      |
|    value_loss           | 0.362      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 415         |
| time/                   |             |
|    fps                  | 172         |
|    iterations           | 21          |
|    time_elapsed         | 249         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.018443486 |
|    clip_fraction        | 0.298       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -407        |
|    learning_rate        | 0.002       |
|    loss                 | 21          |
|    n_updates            | 200         |
|    policy_gradient_loss | 0.021       |
|    std                  | 0.949       |
|    value_loss           | 49.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 487         |
| time/                   |             |
|    fps                  | 173         |
|    iterations           | 22          |
|    time_elapsed         | 260         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.011827377 |
|    average_reward       | 487         |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -326        |
|    learning_rate        | 0.002       |
|    loss                 | 0.113       |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0148     |
|    std                  | 0.948       |
|    value_loss           | 1.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 487         |
| time/                   |             |
|    fps                  | 174         |
|    iterations           | 23          |
|    time_elapsed         | 270         |
|    total_timesteps      | 47104       |
| train/                  |             |
|    approx_kl            | 0.020174008 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -529        |
|    learning_rate        | 0.002       |
|    loss                 | 24.4        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.000485   |
|    std                  | 0.947       |
|    value_loss           | 62.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 487         |
| time/                   |             |
|    fps                  | 174         |
|    iterations           | 24          |
|    time_elapsed         | 282         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.016288435 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -239        |
|    learning_rate        | 0.002       |
|    loss                 | 0.168       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0147     |
|    std                  | 0.947       |
|    value_loss           | 1.63        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 468        |
| time/                   |            |
|    fps                  | 174        |
|    iterations           | 25         |
|    time_elapsed         | 292        |
|    total_timesteps      | 51200      |
| train/                  |            |
|    approx_kl            | 0.04058845 |
|    average_reward       | 468        |
|    clip_fraction        | 0.302      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.9      |
|    explained_variance   | -932       |
|    learning_rate        | 0.002      |
|    loss                 | 0.145      |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0144    |
|    std                  | 0.947      |
|    value_loss           | 0.464      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 468         |
| time/                   |             |
|    fps                  | 175         |
|    iterations           | 26          |
|    time_elapsed         | 304         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.039154477 |
|    clip_fraction        | 0.371       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -596        |
|    learning_rate        | 0.002       |
|    loss                 | 1.19        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0145     |
|    std                  | 0.947       |
|    value_loss           | 2.45        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 502        |
| time/                   |            |
|    fps                  | 176        |
|    iterations           | 27         |
|    time_elapsed         | 313        |
|    total_timesteps      | 55296      |
| train/                  |            |
|    approx_kl            | 0.02177738 |
|    average_reward       | 550        |
|    clip_fraction        | 0.266      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.9      |
|    explained_variance   | -200       |
|    learning_rate        | 0.002      |
|    loss                 | 2.62       |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0153    |
|    std                  | 0.943      |
|    value_loss           | 5.17       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 502         |
| time/                   |             |
|    fps                  | 176         |
|    iterations           | 28          |
|    time_elapsed         | 324         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.016063489 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.9       |
|    explained_variance   | -7.1        |
|    learning_rate        | 0.002       |
|    loss                 | 2.37        |
|    n_updates            | 270         |
|    policy_gradient_loss | 0.00208     |
|    std                  | 0.94        |
|    value_loss           | 8.99        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 502        |
| time/                   |            |
|    fps                  | 176        |
|    iterations           | 29         |
|    time_elapsed         | 336        |
|    total_timesteps      | 59392      |
| train/                  |            |
|    approx_kl            | 0.01081245 |
|    clip_fraction        | 0.149      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.8      |
|    explained_variance   | -2.99e+03  |
|    learning_rate        | 0.002      |
|    loss                 | 0.56       |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.000476  |
|    std                  | 0.94       |
|    value_loss           | 3.17       |
----------------------------------------
60000
[0.55 0.55]
60000
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 461         |
| time/                   |             |
|    fps                  | 176         |
|    iterations           | 30          |
|    time_elapsed         | 347         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.011754222 |
|    average_reward       | 549         |
|    clip_fraction        | 0.262       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -5.99e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 0.366       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0057     |
|    std                  | 0.94        |
|    value_loss           | 2.5         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 461         |
| time/                   |             |
|    fps                  | 176         |
|    iterations           | 31          |
|    time_elapsed         | 359         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.028292822 |
|    clip_fraction        | 0.335       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -13.8       |
|    learning_rate        | 0.002       |
|    loss                 | 0.204       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.938       |
|    value_loss           | 0.735       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 630         |
| time/                   |             |
|    fps                  | 177         |
|    iterations           | 32          |
|    time_elapsed         | 369         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.045374133 |
|    average_reward       | 809         |
|    clip_fraction        | 0.363       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -3.25e+04   |
|    learning_rate        | 0.002       |
|    loss                 | 44.9        |
|    n_updates            | 310         |
|    policy_gradient_loss | 0.0143      |
|    std                  | 0.938       |
|    value_loss           | 107         |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 5e+03         |
|    ep_rew_mean          | 630           |
| time/                   |               |
|    fps                  | 177           |
|    iterations           | 33            |
|    time_elapsed         | 381           |
|    total_timesteps      | 67584         |
| train/                  |               |
|    approx_kl            | 0.00091371505 |
|    clip_fraction        | 0.00806       |
|    clip_range           | 0.2           |
|    entropy_loss         | -10.8         |
|    explained_variance   | -4.48e+03     |
|    learning_rate        | 0.002         |
|    loss                 | 45.8          |
|    n_updates            | 320           |
|    policy_gradient_loss | -0.00256      |
|    std                  | 0.938         |
|    value_loss           | 115           |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 630         |
| time/                   |             |
|    fps                  | 177         |
|    iterations           | 34          |
|    time_elapsed         | 392         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.024356794 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -8.04e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 0.394       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0162     |
|    std                  | 0.938       |
|    value_loss           | 2.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 766         |
| time/                   |             |
|    fps                  | 176         |
|    iterations           | 35          |
|    time_elapsed         | 404         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.011791832 |
|    average_reward       | 1.05e+03    |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -3.44e+06   |
|    learning_rate        | 0.002       |
|    loss                 | 162         |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0028     |
|    std                  | 0.938       |
|    value_loss           | 337         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 766         |
| time/                   |             |
|    fps                  | 177         |
|    iterations           | 36          |
|    time_elapsed         | 415         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.022143025 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -3.33e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 46          |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00788    |
|    std                  | 0.936       |
|    value_loss           | 99.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 762         |
| time/                   |             |
|    fps                  | 178         |
|    iterations           | 37          |
|    time_elapsed         | 425         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.014420606 |
|    average_reward       | 1.11e+03    |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -2.39e+05   |
|    learning_rate        | 0.002       |
|    loss                 | 4.62        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00433    |
|    std                  | 0.935       |
|    value_loss           | 9.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 762         |
| time/                   |             |
|    fps                  | 178         |
|    iterations           | 38          |
|    time_elapsed         | 436         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.024152191 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -1.41e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 2.39        |
|    n_updates            | 370         |
|    policy_gradient_loss | 0.00223     |
|    std                  | 0.932       |
|    value_loss           | 6.04        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 762        |
| time/                   |            |
|    fps                  | 178        |
|    iterations           | 39         |
|    time_elapsed         | 447        |
|    total_timesteps      | 79872      |
| train/                  |            |
|    approx_kl            | 0.04047343 |
|    clip_fraction        | 0.371      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.8      |
|    explained_variance   | -1.21e+04  |
|    learning_rate        | 0.002      |
|    loss                 | 0.731      |
|    n_updates            | 380        |
|    policy_gradient_loss | 0.00146    |
|    std                  | 0.93       |
|    value_loss           | 3.86       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 810         |
| time/                   |             |
|    fps                  | 178         |
|    iterations           | 40          |
|    time_elapsed         | 459         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.018112037 |
|    average_reward       | 1.25e+03    |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.8       |
|    explained_variance   | -9.59       |
|    learning_rate        | 0.002       |
|    loss                 | 23          |
|    n_updates            | 390         |
|    policy_gradient_loss | 0.00195     |
|    std                  | 0.929       |
|    value_loss           | 57          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 810         |
| time/                   |             |
|    fps                  | 178         |
|    iterations           | 41          |
|    time_elapsed         | 470         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.011454525 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -2.74e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 2.73        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00937    |
|    std                  | 0.928       |
|    value_loss           | 5.75        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 5e+03        |
|    ep_rew_mean          | 835          |
| time/                   |              |
|    fps                  | 178          |
|    iterations           | 42           |
|    time_elapsed         | 482          |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0061811856 |
|    average_reward       | 1.17e+03     |
|    clip_fraction        | 0.101        |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.7        |
|    explained_variance   | -1.92e+05    |
|    learning_rate        | 0.002        |
|    loss                 | 8.06         |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00424     |
|    std                  | 0.928        |
|    value_loss           | 18.7         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 5e+03       |
|    ep_rew_mean          | 835         |
| time/                   |             |
|    fps                  | 178         |
|    iterations           | 43          |
|    time_elapsed         | 494         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.024372768 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.7       |
|    explained_variance   | -2.33e+03   |
|    learning_rate        | 0.002       |
|    loss                 | 8.57        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.01       |
|    std                  | 0.928       |
|    value_loss           | 17.8        |
-----------------------------------------
90000
[0.5472912 0.5554176]
90000
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 5e+03      |
|    ep_rew_mean          | 834        |
| time/                   |            |
|    fps                  | 178        |
|    iterations           | 44         |
|    time_elapsed         | 505        |
|    total_timesteps      | 90112      |
| train/                  |            |
|    approx_kl            | 0.02829896 |
|    average_reward       | 1.17e+03   |
|    clip_fraction        | 0.343      |
|    clip_range           | 0.2        |
|    entropy_loss         | -10.7      |
|    explained_variance   | -1.42e+04  |
|    learning_rate        | 0.002      |
|    loss                 | 0.539      |
|    n_updates            | 430        |
|    policy_gradient_loss | 8.17e-05   |
|    std                  | 0.928      |
|    value_loss           | 3.61       |
----------------------------------------
----------------------------------------
| rollout/                |            |
